,location,size,total_sqft,price
0,Electronic City Phase II,2,1056.0,39.07
2,Uttarahalli,3,1440.0,62.0
3,Lingadheeranahalli,3,1521.0,95.0
4,Kothanur,2,1200.0,51.0
5,Whitefield,2,1170.0,38.0
8,Marathahalli,3,1310.0,63.25
10,Whitefield,3,1800.0,70.0
12,7th Phase JP Nagar,2,1000.0,38.0
13,Gottigere,2,1100.0,40.0
14,Sarjapur,3,2250.0,148.0
15,Mysore Road,2,1175.0,73.5
16,Bisuvanahalli,3,1180.0,48.0
17,Raja Rajeshwari Nagar,3,1540.0,60.0
19,other,2,1100.0,48.0
20,Kengeri,1,600.0,15.0
21,Binny Pete,3,1755.0,122.0
23,Bellandur,3,1767.0,103.0
24,Thanisandra,1,510.0,25.25
25,other,3,1250.0,56.0
26,Electronic City,2,660.0,23.1
27,Whitefield,3,1610.0,81.0
28,Ramagondanahalli,2,1151.0,48.77
29,Electronic City,3,1025.0,47.0
30,Yelahanka,4,2475.0,186.0
31,Bisuvanahalli,3,1075.0,35.0
32,Hebbal,3,1760.0,123.0
33,Raja Rajeshwari Nagar,3,1693.0,57.39
34,Kasturi Nagar,3,1925.0,125.0
35,Kanakpura Road,2,700.0,36.0
36,Electronics City Phase 1,2,1070.0,45.5
37,Kundalahalli,3,1724.0,125.0
38,Chikkalasandra,3,1290.0,56.12
39,Uttarahalli,2,1143.0,45.0
40,Murugeshpalya,2,1296.0,81.0
41,Sarjapur  Road,3,1254.0,38.0
42,other,1,600.0,38.0
43,Yelahanka,1,660.0,48.0
44,Kanakpura Road,2,1330.74,91.79
46,Doddathoguru,2,970.0,33.0
47,Whitefield,2,1459.0,94.82
48,KR Puram,2,800.0,130.0
49,other,2,869.0,36.0
50,other,2,1270.0,50.0
51,Bhoganhalli,3,1670.0,99.0
52,Whitefield,3,2010.0,91.0
53,Lakshminarayana Pura,2,1185.0,75.0
54,Yelahanka,3,1600.0,75.0
55,Begur Road,2,1200.0,44.0
57,other,2,1500.0,185.0
59,other,2,840.0,45.0
61,other,2,845.0,55.0
63,Varthur,2,1160.0,44.0
65,Doddathoguru,2,1100.0,62.0
66,Gunjur,2,1140.0,43.0
67,Marathahalli,2,1220.0,57.0
69,Kanakpura Road,2,1005.0,36.68
70,other,3,500.0,100.0
71,Begur Road,2,1358.0,80.58
72,Hegde Nagar,3,1569.0,101.0
73,Haralur Road,2,1240.0,70.0
74,Hennur Road,3,2089.0,140.0
75,Kothannur,2,1206.0,48.23
76,Kalena Agrahara,2,1150.0,40.0
78,Kaval Byrasandra,2,460.0,22.0
80,other,3,1660.0,105.0
82,Yelahanka,2,1326.0,78.0
83,Garudachar Palya,3,1325.0,60.8
86,Kanakpura Road,3,1665.0,88.0
87,Dasanapura,2,708.0,37.0
88,Kasavanhalli,2,1060.0,58.06
90,Sanjay nagar,2,1000.0,70.0
91,Electronic City,2,1000.0,28.88
92,other,3,1450.0,70.0
93,ISRO Layout,4,1200.0,155.0
94,Thanisandra,2,1296.0,80.0
95,Domlur,3,1540.0,90.0
97,Sarjapura - Attibele Road,3,1330.0,48.0
98,other,2,1200.0,65.0
99,other,3,1200.0,90.0
100,Yeshwanthpur,3,2502.0,138.0
101,Chandapura,2,650.0,17.0
102,Kothanur,3,2400.0,150.0
103,other,2,1007.0,43.0
104,other,2,1200.0,50.0
105,other,2,966.0,49.9
106,Nagarbhavi,3,1630.0,98.0
108,other,2,782.0,55.68
109,Devanahalli,2,1260.0,66.78
110,other,3,1800.0,120.0
111,other,3,1413.0,75.0
112,Whitefield,2,1116.0,51.91
113,Electronic City,3,1530.0,45.9
115,Sarjapur  Road,3,2497.0,140.0
116,Kengeri,3,1540.0,64.0
117,Thanisandra,3,1436.0,74.75
118,Malleshwaram,2,1100.0,75.0
119,Hennur Road,2,276.0,23.0
120,Thanisandra,3,1427.0,120.0
123,Shampura,4,2650.0,150.0
124,Devanahalli,3,1282.0,68.52
125,Kadugodi,2,1050.0,34.0
126,LB Shastri Nagar,3,1600.0,65.0
127,other,2,945.0,54.0
128,Hormavu,2,1500.0,78.0
130,other,3,1870.0,110.0
131,Sarjapur,3,1600.0,75.0
132,Electronic City,2,880.0,16.5
134,Kudlu Gate,3,1535.0,83.0
135,Kanakpura Road,2,950.0,57.0
136,Devanahalli,2,1360.0,65.0
137,8th Phase JP Nagar,2,1073.5,54.005
138,Bommasandra Industrial Area,3,1280.0,50.4
139,other,3,1260.0,85.05
142,Kasavanhalli,3,1563.05,105.0
143,ISRO Layout,2,1000.0,60.0
144,Anandapura,2,1167.0,43.76
146,Kothanur,3,1828.0,110.0
147,Kengeri Satellite Town,2,890.0,35.0
148,other,3,1612.0,46.74
150,Mysore Road,3,1710.0,91.31
151,Kannamangala,2,957.0,58.0
152,Devarachikkanahalli,3,1250.0,44.0
154,Hulimavu,2,1125.0,50.0
155,Electronic City Phase II,2,1020.0,30.6
156,Kalena Agrahara,2,1200.0,50.0
157,Thanisandra,3,1735.0,135.0
158,Thanisandra,3,2050.0,145.0
160,other,3,1350.0,48.0
161,Hosa Road,2,1063.0,32.0
162,other,3,1904.0,150.0
164,other,3,2000.0,175.0
165,Sarjapur,2,1242.5,43.49
166,other,3,1425.0,75.0
167,Electronic City,3,1500.0,64.5
168,Electronic City,2,1060.0,60.0
169,other,3,1470.0,70.0
171,Attibele,1,450.0,11.0
172,Electronic City,2,1152.0,64.5
173,Electronic City,3,1350.0,56.0
174,CV Raman Nagar,3,1550.0,65.0
175,other,3,1500.0,100.0
177,Nagavara,1,400.0,14.0
178,Malleshwaram,1,705.0,67.0
179,Electronic City,2,770.0,36.0
180,Hulimavu,2,1242.0,51.0
181,Hebbal Kempapura,3,1700.0,155.0
182,Thanisandra,3,2144.0,145.0
183,Vijayanagar,3,1704.0,110.0
184,Electronic City,2,1070.0,52.0
186,other,2,1340.0,55.7
187,Electronic City,2,1025.0,46.0
188,KR Puram,2,1277.5,56.8
189,Marathahalli,2,1200.0,52.0
190,Kanakpura Road,4,2250.0,110.0
191,other,3,1550.0,80.0
194,Marathahalli,2,1200.0,60.0
195,Yelahanka,2,1327.0,98.0
196,Kothanur,2,1186.0,58.0
197,other,3,1783.0,115.0
198,HSR Layout,3,1400.0,56.0
199,Nagasandra,2,980.0,48.0
200,EPIP Zone,2,1285.0,82.0
201,other,3,912.0,70.0
202,Whitefield,2,1225.0,47.6
203,Whitefield,2,1075.0,53.0
204,Kadugodi,3,1260.0,54.0
205,Yelahanka,3,1282.0,48.7
206,Kogilu,3,1909.0,88.0
207,Panathur,2,1359.0,87.0
208,other,2,1207.0,43.5
211,Kammasandra,3,1595.0,65.0
212,other,3,1798.0,89.0
213,Electronics City Phase 1,3,1475.0,78.29
214,other,3,1580.0,100.0
215,Dasarahalli,2,1295.0,65.0
217,Electronic City,1,589.0,27.0
218,other,3,1415.0,78.0
219,Sarjapur  Road,3,1787.0,98.29
220,Sarjapur  Road,3,1787.0,125.0
221,Koramangala,3,1475.0,90.0
222,other,4,2000.0,75.5
223,Sarjapur  Road,2,984.0,44.28
226,7th Phase JP Nagar,2,1080.0,72.0
227,other,2,1500.0,115.0
228,Hebbal,3,1900.0,119.0
229,Dommasandra,2,805.0,22.14
230,Budigere,2,1153.0,56.4
231,other,2,1148.0,60.0
232,other,2,1110.0,55.0
233,Electronic City,2,1100.0,42.0
234,Kalyan nagar,2,1290.0,110.0
235,other,3,1500.0,65.0
236,other,2,1080.0,39.0
237,Vijayanagar,3,1933.0,129.0
239,other,2,1060.0,60.0
240,Chandapura,1,645.0,16.45
243,other,3,1644.0,84.0
244,other,2,1285.0,72.5
245,Electronic City,3,1200.0,90.0
246,Electronic City,2,910.0,40.0
247,Kothanur,3,1577.0,70.0
249,OMBR Layout,3,2420.0,185.0
250,Chandapura,2,800.0,20.0
251,other,2,1060.0,55.0
252,7th Phase JP Nagar,2,1270.0,93.0
253,other,2,900.0,22.5
254,other,2,1280.0,69.0
255,Horamavu Agara,4,1200.0,95.0
256,Sarjapur  Road,2,1025.0,36.0
257,Electronic City,2,1108.0,63.0
259,other,3,3045.0,170.0
261,Vijayanagar,3,1500.0,75.5
262,Raja Rajeshwari Nagar,2,1295.0,43.9
263,Budigere,2,1162.0,59.9
264,Sarjapur  Road,2,1035.0,49.2
265,Attibele,4,1600.0,52.8
266,other,3,1464.0,46.0
267,Hennur Road,3,1866.0,61.58
268,other,2,700.0,26.0
269,Kalena Agrahara,3,1804.0,120.0
270,Sarjapur,2,913.0,32.0
271,Talaghattapura,3,1868.0,131.0
272,Kengeri Satellite Town,2,883.0,45.0
273,other,2,900.0,110.0
274,Kogilu,3,1664.0,73.95
275,Hegde Nagar,3,2026.0,132.0
276,Balagere,2,1210.0,80.9
278,Kadugodi,3,1762.0,91.45
279,Jigani,3,1252.0,55.0
280,Gollarapalya Hosahalli,2,861.0,34.5
281,7th Phase JP Nagar,3,1420.0,100.0
283,Electronics City Phase 1,3,1490.0,78.8
284,Bisuvanahalli,3,1075.0,46.0
285,Old Madras Road,3,1425.0,94.0
286,Kalena Agrahara,2,1200.0,40.0
287,Kaggadasapura,3,1280.0,56.0
288,other,2,1084.0,50.0
289,Chandapura,2,1015.0,25.88
290,Kanakpura Road,2,1017.0,51.25
291,Haralur Road,2,1027.0,44.0
292,Electronic City Phase II,2,1069.0,45.0
293,Hebbal,2,1349.0,98.2
294,9th Phase JP Nagar,2,1005.0,50.0
295,Jakkur,2,1417.0,75.0
296,TC Palaya,3,1475.0,98.0
297,other,2,950.0,47.0
298,other,4,2000.0,120.0
299,Giri Nagar,3,880.0,140.0
300,Sarjapur  Road,4,1863.0,104.0
301,Singasandra,2,1010.0,29.5
302,Kalena Agrahara,3,1425.0,70.0
303,Vijayanagar,3,1450.0,100.0
304,Kothanur,3,1847.0,105.0
305,AECS Layout,2,1100.0,45.0
306,Kanakpura Road,1,525.0,26.0
307,Mallasandra,3,1665.0,95.0
308,Begur,4,1664.0,65.0
309,JP Nagar,3,1850.0,150.0
310,Panathur,2,1438.0,100.0
311,other,3,1560.0,115.0
312,Yelahanka,2,1350.0,55.55
313,Kanakpura Road,3,1550.0,67.0
314,Malleshpalya,2,1140.0,46.5
316,other,2,850.0,27.0
317,Whitefield,2,1280.0,75.0
318,Munnekollal,2,1170.0,52.0
319,other,2,1113.0,51.0
320,Hennur Road,2,1385.0,83.09
321,Electronic City,2,1128.0,65.0
322,Marathahalli,2,1200.0,128.0
323,other,4,1200.0,165.0
326,Haralur Road,3,1464.0,56.0
327,other,2,1200.0,55.0
328,Kaval Byrasandra,2,1200.0,52.0
329,Kaggalipura,3,1150.0,55.0
330,other,3,1645.0,95.0
331,Sarjapur  Road,2,1000.0,67.0
333,6th Phase JP Nagar,2,1192.0,74.0
335,Whitefield,2,1173.0,58.0
336,Uttarahalli,2,1020.0,45.0
338,Somasundara Palya,3,1600.0,64.0
339,other,2,1200.0,79.0
340,other,2,1230.0,48.0
341,Devarachikkanahalli,2,1250.0,40.0
342,Kalena Agrahara,2,1325.0,76.0
343,7th Phase JP Nagar,3,1850.0,150.0
345,Basaveshwara Nagar,2,1200.0,65.0
346,other,3,1350.0,140.0
347,Bommasandra,3,1260.0,49.36
348,other,3,1800.0,150.0
349,other,3,11.0,74.0
350,Ardendale,2,1100.0,43.25
351,Harlur,2,1508.0,77.0
352,other,3,1592.0,75.0
353,Akshaya Nagar,2,1388.0,57.0
354,Electronic City Phase II,1,630.0,28.35
356,other,3,1762.0,125.0
357,other,2,950.0,50.0
359,Magadi Road,2,1116.0,50.0
360,other,2,1308.0,89.04
361,other,3,1200.0,90.0
363,Bannerghatta Road,1,500.0,18.5
364,Hennur,2,1075.0,52.0
365,Chandapura,1,530.0,11.66
366,Bellandur,2,1205.0,66.0
367,5th Phase JP Nagar,2,1075.0,60.0
368,KR Puram,2,930.0,39.0
369,Balagere,2,1380.0,60.0
371,Kodigehaali,2,1166.0,55.0
372,Bannerghatta Road,2,1050.0,65.0
374,Begur Road,2,1200.0,46.8
375,Lakshminarayana Pura,3,1600.0,108.0
376,Billekahalli,3,1935.0,110.0
377,8th Phase JP Nagar,1,451.0,29.9
378,Electronic City,3,1800.0,95.0
379,Jalahalli,3,1400.0,77.0
380,Hegde Nagar,3,1801.0,115.0
381,Mahadevpura,2,1451.0,90.0
382,Anekal,2,1200.0,36.0
383,Begur Road,2,1160.0,44.0
384,Kengeri,2,1000.0,25.0
385,Kanakpura Road,2,950.0,40.0
386,other,3,1629.0,79.0
387,Vijayanagar,3,1580.0,134.0
388,Vijayanagar,3,1826.0,121.0
389,7th Phase JP Nagar,2,1245.0,94.0
390,Raja Rajeshwari Nagar,2,1145.0,45.79
391,Sompura,2,825.0,33.0
392,Yeshwanthpur,3,1693.0,108.0
393,Electronics City Phase 1,2,1113.27,53.0
394,other,2,1460.0,58.0
395,Doddathoguru,2,1050.0,32.0
396,Dodda Nekkundi,2,1260.0,55.0
398,Hosur Road,2,1656.0,120.0
399,Chandapura,3,1208.0,45.0
400,Whitefield,3,1910.0,161.0
402,Battarahalli,2,1200.0,65.0
403,other,4,1200.0,175.0
404,7th Phase JP Nagar,2,1175.0,82.0
405,other,2,1000.0,165.0
406,Bannerghatta Road,4,1200.0,125.0
409,Sultan Palaya,2,550.0,62.0
411,other,2,1185.0,38.0
412,Kengeri,2,750.0,38.0
414,Kanakpura Road,3,1550.0,64.5
415,other,3,1760.0,88.0
416,Billekahalli,2,1125.0,62.0
417,Nagarbhavi,3,1350.0,150.0
418,Anandapura,2,1000.0,55.0
419,Bommasandra Industrial Area,2,1090.0,31.48
420,TC Palaya,2,1200.0,60.0
421,Budigere,3,1991.0,103.0
422,Bommasandra,2,1060.0,26.5
423,Ambalipura,2,1105.0,75.0
424,Hoodi,2,985.0,67.0
426,Balagere,3,1590.0,79.0
427,CV Raman Nagar,2,1120.0,55.0
428,other,2,1069.0,55.0
429,Marathahalli,3,1933.0,140.0
430,Hosur Road,2,1194.0,69.0
431,Brookefield,2,1150.0,69.0
432,Yelenahalli,2,1240.0,47.12
433,Raja Rajeshwari Nagar,2,1419.0,48.1
436,other,3,1450.0,55.0
437,other,3,1630.0,68.29
438,Dasanapura,2,708.0,40.0
439,Kasavanhalli,3,1000.0,110.0
441,Bellandur,2,1250.0,76.0
442,7th Phase JP Nagar,3,1400.0,95.0
443,Sarjapur  Road,3,1670.0,57.0
444,Ardendale,3,1750.0,100.0
445,Vittasandra,2,1404.0,71.0
446,Hoodi,3,1715.0,95.0
447,Electronic City,1,630.0,34.65
448,Harlur,3,1752.12,135.0
449,Hulimavu,3,1650.0,78.0
450,Raja Rajeshwari Nagar,2,1295.0,55.47
452,Sarjapur  Road,2,1346.0,74.03
454,Hormavu,2,1150.0,55.0
456,Chandapura,3,1190.0,30.35
457,AECS Layout,3,1620.0,98.0
458,Marathahalli,2,950.0,46.96
460,Harlur,3,2450.0,120.0
461,Electronic City Phase II,3,1220.0,35.23
462,other,2,850.0,30.0
463,Padmanabhanagar,2,1020.0,63.0
464,Chikkalasandra,2,1100.0,50.0
465,other,2,1150.0,126.0
466,Hebbal,3,1760.0,130.0
467,Ambalipura,3,1800.0,110.0
468,Akshaya Nagar,2,1070.0,54.0
470,Vidyaranyapura,2,1440.0,95.0
471,Amruthahalli,2,900.0,40.0
473,Whitefield,2,1130.0,42.16
474,Koramangala,2,1320.0,165.0
475,Kodigehalli,2,1270.0,98.0
476,other,2,1200.0,62.0
478,other,2,1200.0,74.0
479,Subramanyapura,2,929.0,50.17
481,Basavangudi,4,1125.0,180.0
484,other,3,1464.0,56.0
486,other,4,2000.0,99.0
487,Chikkalasandra,2,1208.0,49.0
488,Hebbal Kempapura,2,1130.0,60.0
489,other,3,1753.0,120.0
491,Banjara Layout,3,600.0,58.0
492,Hoodi,2,1196.0,94.42
493,5th Phase JP Nagar,2,1150.0,52.5
494,Electronic City,2,1128.0,63.0
495,other,2,1000.0,53.0
496,Yelahanka,2,1035.0,45.0
497,Kereguddadahalli,2,950.0,32.0
498,Bisuvanahalli,3,1075.0,36.0
499,Whitefield,2,1040.0,48.5
